"ym","X","Y","eps"
"2006_7",-93.627767,42.060111,0.264485002420061
"2006_1",-93.626337,42.059957,0.110559361253928
"2006_10",-93.626477,42.061096,0.130301542907998
"2010_6",-93.62655,42.061239,0.254868831633255
"2007_6",-93.626366,42.061202,0.34991578522514
"2010_6",-93.6235954,42.0603514,-0.183949067532243
"2008_5",-93.622299,42.059792,-0.580795396256077
"2007_11",-93.622874,42.060096,-0.151432173549754
"2006_1",-93.625169,42.056702,-0.0510346654633441
"2007_3",-93.629538,42.059743,0.104351302828336
"2007_10",-93.630074,42.058893,0.51601235208023
"2008_7",-93.629808,42.058896,0.101565640251423
"2006_8",-93.63007,42.058563,0.138816777257755
"2009_7",-93.628639,42.059817,0.204219059129477
"2006_8",-93.624062,42.059947,0.174300339460473
"2007_1",-93.628754,42.058998,0.2281353521946
"2007_10",-93.628723,42.058996,0.142148789949476
"2006_9",-93.628269,42.058816,0.268956182319561
"2010_6",-93.628804,42.05885,0.133496534205478
"2009_6",-93.629357,42.058439,0.114014861506202
"2008_7",-93.6225667,42.0586718,-0.432951818009997
"2010_6",-93.622971,42.056673,0.177022738581304
"2009_7",-93.623975,42.056796,0.0471077329373811
"2006_5",-93.638026,42.055607,-0.0636394065406687
"2007_4",-93.637875,42.054368,-0.107614554276735
"2008_11",-93.6391494,42.056015,-0.0705908530714857
"2008_6",-93.639715,42.054514,-0.127396197066342
"2007_4",-93.638853,42.053916,0.0232706322892977
"2009_8",-93.637343,42.053532,0.0179233305075131
"2007_1",-93.637876,42.055545,-0.0392810580553364
"2008_6",-93.637825,42.054562,-0.137645963438115
"2007_3",-93.637816,42.0545,-0.144096460713657
"2008_7",-93.637808,42.054439,-0.0155437070781386
"2006_2",-93.637874,42.054367,-0.0153571251419359
"2007_9",-93.637158,42.054395,-0.07541495399902
"2010_2",-93.636655,42.054453,-0.0754655416052685
"2009_1",-93.636512,42.055408,-0.0894476048413688
"2008_8",-93.636511,42.055358,-0.167839456355683
"2008_3",-93.636505,42.054503,-0.115714908999731
"2008_7",-93.635111,42.054455,0.156575500085716
"2007_3",-93.634665,42.054941,-0.112968655699058
"2007_11",-93.633973,42.055217,-0.0635954404167696
"2006_3",-93.6326645,42.0543376,0.0169285471685106
"2008_11",-93.630299,42.054211,-0.0672895656075303
"2009_4",-93.635056,42.055081,-0.890073635377307
"2008_3",-93.633168,42.055432,0.0226333620558601
"2009_6",-93.632417,42.055572,0.0191412321036826
"2007_6",-93.631528,42.054427,-0.0266193309892479
"2006_7",-93.631515,42.054956,0.0328114222124136
"2006_6",-93.633002,42.0562619,0.0183241954825003
"2007_7",-93.632669,42.05622,-0.0331901910808072
"2007_8",-93.631795,42.056211,-0.130496945252529
"2009_5",-93.637774,42.05184,-0.408911636748811
"2009_8",-93.63745,42.052507,0.01132501689048
"2009_8",-93.638366,42.052102,-0.0342769722418694
"2007_11",-93.638554,42.052353,0.0255000682330392
"2006_6",-93.635486,42.05327,0.0435892144345759
"2007_8",-93.635411,42.053271,0.0518345992000085
"2009_6",-93.634212,42.052719,-0.136178994530509
"2008_3",-93.635153,42.052544,-0.116469258088988
"2009_5",-93.637043,42.05288,-0.020227271083381
"2006_7",-93.6353259,42.0524029,-0.0787018968475953
"2009_7",-93.633796,42.052915,-0.0563573586358957
"2006_5",-93.636044,42.053418,0.0222312825458962
"2006_7",-93.637387,42.050514,-0.10423985888584
"2009_4",-93.637289,42.050345,-0.2392759624868
"2007_4",-93.63724,42.05026,-0.0211384163594069
"2006_2",-93.637191,42.050176,0.036098126606012
"2007_9",-93.634714,42.049832,-0.0591309489287574
"2008_6",-93.637105,42.050326,0.0446133349439768
"2008_12",-93.63719,42.051473,-0.0295628073369777
"2007_2",-93.634581,42.050075,0.0202541245215629
"2006_7",-93.635367,42.049771,-0.0305367009048928
"2008_5",-93.633905,42.050679,0.0200758955931075
"2010_1",-93.633962,42.050346,-0.0682891969956066
"2010_1",-93.636372,42.05027,-0.136353022025907
"2007_6",-93.636497,42.050372,-0.0403778105302531
"2008_4",-93.635216,42.049449,-0.128507838249162
"2009_6",-93.634694,42.0496539,-0.179798121694383
"2008_9",-93.6341769,42.04986,0.0423853048312757
"2007_11",-93.633898,42.049956,-0.0195482377969657
"2007_2",-93.633757,42.051039,-0.146835029482648
"2009_10",-93.635919,42.049394,0.0937631847133568
"2009_6",-93.639516,42.049106,0.0414909059295153
"2006_6",-93.639516,42.051077,0.186602028681855
"2009_12",-93.639511,42.051619,0.214160739345485
"2009_3",-93.6392308,42.0503771,-0.0855383778311185
"2009_10",-93.639366,42.049406,-0.023518308515929
"2010_1",-93.639366,42.049297,0.080941574447911
"2009_6",-93.632915,42.053166,0.182647496674239
"2006_6",-93.632369,42.052362,-0.0145515840148071
"2009_4",-93.632178,42.052355,0.0810973533921314
"2009_8",-93.630253,42.052448,-0.0919906211650043
"2006_7",-93.630348,42.052522,0.146383308095902
"2009_8",-93.631432,42.05267,0.0187616660587161
"2006_3",-93.632355,42.052359,-0.129769016868942
"2006_1",-93.630289,42.04977,0.0272620713638585
"2007_11",-93.632191,42.048765,-0.00339599452279856
"2006_6",-93.631162,42.049608,0.0418205766370627
"2008_11",-93.631129,42.049609,-0.00620540210475604
"2009_8",-93.631791,42.04891,-0.156693150492243
"2008_6",-93.630231,42.051074,0.139685102085503
"2008_6",-93.626544,42.056306,-0.149154700638096
"2008_7",-93.627875,42.05539,0.0393229604742995
"2007_12",-93.627736,42.055392,0.172358716475026
"2008_9",-93.626511,42.055304,-0.0318892116474501
"2007_3",-93.626331,42.055264,0.0283340184645472
"2010_3",-93.626231,42.055147,0.020013336101955
"2006_3",-93.62626,42.055131,0.0227893669827733
"2009_8",-93.626554,42.054626,0.121126072896966
"2007_6",-93.626565,42.054603,0.0989141007019515
"2010_4",-93.626537,42.054592,0.0673006194432976
"2006_7",-93.625373,42.053459,0.10804651081338
"2010_7",-93.628806,42.055227,0.0712175478625313
"2009_7",-93.628707,42.055228,0.0214136992506067
"2007_9",-93.629118,42.053407,0.0603497724306059
"2008_5",-93.630208,42.054328,0.0248209905277031
"2009_3",-93.626603,42.055184,-0.0729068217158184
"2009_7",-93.62655,42.055154,0.150908089477557
"2007_10",-93.626722,42.054612,-0.0306676631330787
"2007_7",-93.627112,42.053547,0.0195479202862544
"2010_4",-93.627112,42.053395,0.128183341612574
"2007_6",-93.628047,42.05346,0.129801978668146
"2007_6",-93.62805,42.053503,0.015017412676639
"2006_3",-93.627849,42.054385,-0.137286002944216
"2009_9",-93.627037,42.05337,-0.348118452831312
"2009_11",-93.625657,42.053306,0.0273194619040405
"2009_7",-93.625542,42.053307,0.159466309233687
"2007_7",-93.6247461,42.0562952,0.0641052288398256
"2008_4",-93.624265,42.0564348,-0.0529318905222348
"2009_3",-93.6234986,42.0564419,-0.198814757861634
"2009_7",-93.6223289,42.056461,0.137813270816352
"2007_5",-93.621646,42.056395,0.0889727996480481
"2007_6",-93.624798,42.05467,0.0362562165144284
"2008_8",-93.624873,42.054693,0.0955207847360707
"2007_7",-93.624798,42.054789,-0.10237010095968
"2007_10",-93.624431,42.055319,-0.0554343537765891
"2006_9",-93.624411,42.055319,0.0185514396879163
"2010_6",-93.624373,42.055318,-0.0603421332725307
"2006_12",-93.629906,42.052655,-0.10141900482904
"2007_2",-93.629747,42.052669,0.00990310243814366
"2006_6",-93.6292319,42.0524739,-0.0577344764534668
"2008_2",-93.628971,42.052794,-0.039504681519876
"2007_5",-93.628656,42.052698,-0.0502699578086657
"2006_6",-93.627932,42.0527019,-0.251663109769578
"2007_12",-93.627855,42.052696,-0.115372721440669
"2008_11",-93.627629,42.052755,-0.0344382087660759
"2009_7",-93.627396,42.052758,0.0669923714612061
"2006_7",-93.627103,42.051798,0.129593028308838
"2008_4",-93.627114,42.051479,-0.0709037316842081
"2007_4",-93.629777,42.052294,-0.0710245395556402
"2008_9",-93.629462,42.052332,-0.000347083094266229
"2009_5",-93.628119,42.052338,0.0434878033525896
"2007_8",-93.627242,42.051833,0.0451335615920808
"2010_2",-93.627271,42.051835,-0.0688536734544813
"2008_7",-93.62765,42.051678,-0.180139796339487
"2009_5",-93.627565,42.051683,0.0960463070496129
"2010_3",-93.627536,42.051684,0.103752594726613
"2006_5",-93.627366,42.051691,0.0818758598531865
"2008_8",-93.627309,42.051687,-0.0919063619626904
"2010_3",-93.62728,42.051685,-0.134230796699409
"2006_7",-93.629877,42.051672,-0.122350252434645
"2006_10",-93.629846,42.051673,0.0267104271342752
"2006_6",-93.629516,42.051664,-0.120381138677979
"2009_7",-93.629456,42.051661,-0.0433186919390402
"2008_12",-93.629425,42.051659,0.0832107223622739
"2009_5",-93.629851,42.051823,0.0537191960979263
"2009_2",-93.629881,42.051822,0.108335906798557
"2009_10",-93.627244,42.050615,0.129930383342944
"2006_7",-93.627169,42.050595,0.0647704297194944
"2007_2",-93.627238,42.050397,-0.0438492994251305
"2008_10",-93.627234,42.050001,0.0530060987503756
"2010_7",-93.627232,42.049672,-0.0815216415060251
"2006_9",-93.628857,42.048947,0.0535495852391892
"2006_12",-93.62895,42.048946,0.0205732553771305
"2007_7",-93.624575,42.05057,0.010473421420126
"2009_9",-93.624729,42.050705,0.0264616008815
"2009_7",-93.624748,42.050705,0.0647268818788718
"2006_4",-93.624767,42.050705,0.0455415189564726
"2010_6",-93.625924,42.050683,0.0180887220661105
"2009_8",-93.625945,42.050682,-0.115890190071772
"2010_6",-93.625966,42.050681,0.0263058814202626
"2008_5",-93.625986,42.05068,0.109853722630493
"2009_6",-93.625918,42.050533,0.0756076499802985
"2008_9",-93.625848,42.050257,0.0891572968190942
"2009_5",-93.625846,42.050213,-0.012583293221131
"2010_7",-93.625848,42.049811,0.0327789511259857
"2007_4",-93.625672,42.049996,0.0542110888563567
"2009_7",-93.625688,42.05009,0.0281737265375408
"2009_4",-93.62569,42.050134,0.0603652505117088
"2009_4",-93.625696,42.050222,-0.0273986732149651
"2009_10",-93.625707,42.050397,0.0614959639046094
"2006_7",-93.625709,42.050441,0.0394534822234584
"2009_7",-93.6256036,42.0488934,-0.10770655433828
"2007_11",-93.6257971,42.0488205,0.0907988829314111
"2008_10",-93.62649,42.04845,-0.0250712681109447
"2009_7",-93.626521,42.048486,0.0944274576029071
"2006_9",-93.658864,42.061472,-0.214551456717476
"2008_11",-93.658873,42.062046,0.129309493909035
"2009_7",-93.658877,42.0623099,-0.143409518726911
"2007_8",-93.6588809,42.062574,-0.0328314020356095
"2006_8",-93.658413,42.063307,0.027153148897647
"2007_7",-93.658015,42.063296,-0.0614603191672948
"2007_12",-93.657679,42.063298,0.0615096476222076
"2008_8",-93.6573126,42.0632692,-0.00741521326515396
"2007_6",-93.6569765,42.0632689,0.060989560099076
"2007_11",-93.6566403,42.0632722,-0.026435621924263
"2009_6",-93.6562749,42.063304,0.021958416267359
"2007_11",-93.654243,42.063141,0.00538403347683834
"2008_6",-93.652941,42.063129,-0.119846149953434
"2009_7",-93.652716,42.063025,0.0737022239992112
"2008_11",-93.652744,42.062925,0.101059044138574
"2006_9",-93.658226,42.061901,-0.0691643289750608
"2009_4",-93.657828,42.061902,0.145376948997473
"2007_5",-93.6570383,42.0619544,0.0341413282736253
"2007_12",-93.6566568,42.061976,0.124491400340869
"2007_3",-93.6562702,42.0619709,-0.0278483113008485
"2009_11",-93.657483,42.06128,-0.139975761738055
"2007_8",-93.657967,42.061284,0.016097866318902
"2006_7",-93.657991,42.061284,-0.240034674401935
"2009_7",-93.654241,42.062991,-0.1238546334468
"2009_8",-93.654144,42.062992,-0.335484031866663
"2009_7",-93.653955,42.062994,0.0289698543799214
"2009_7",-93.652863,42.062942,-0.0409385523906853
"2010_1",-93.653201,42.062352,0.00167914695117366
"2009_5",-93.654439,42.062258,0.0473706157719656
"2009_9",-93.654567,42.062257,-0.0200727881894473
"2008_1",-93.654642,42.062259,0.0981251521969572
"2007_8",-93.654774,42.062259,-0.0440585371091258
"2009_6",-93.658224,42.062776,0.0458095577826696
"2009_3",-93.657835,42.062789,0.182902529385034
"2007_10",-93.6570542,42.0628153,0.0360916383169409
"2006_9",-93.6566537,42.0628074,0.0640127144324147
"2007_7",-93.6562861,42.0624082,0.171113128915993
"2008_1",-93.6566551,42.0624143,0.168043429244987
"2009_1",-93.657049,42.0623985,0.308750979091347
"2007_3",-93.657444,42.062434,-0.131104976470224
"2008_8",-93.657832,42.062432,0.064962102966277
"2006_9",-93.654774,42.062109,0.10141927648898
"2010_5",-93.654645,42.062109,0.0328465176045845
"2009_7",-93.654437,42.062108,0.0179923478882765
"2007_5",-93.65331,42.061504,-0.131408263328498
"2006_6",-93.657984,42.061134,0.0559152151724589
"2008_5",-93.657889,42.061133,-0.0238296681565688
"2007_7",-93.657524,42.061131,0.231984597043522
"2009_4",-93.658854,42.060934,-0.134216477488051
"2006_3",-93.658788,42.060342,-0.0687508297477689
"2006_11",-93.657118,42.060272,-0.0396246203956299
"2006_9",-93.657149,42.060271,-0.0944302310127763
"2008_10",-93.657188,42.06027,-0.126224778568367
"2007_5",-93.657211,42.06027,-0.0569241710643533
"2007_8",-93.657235,42.060269,0.0240960071766511
"2009_6",-93.656737,42.060353,0.0812642323954463
"2008_6",-93.656801,42.060427,-0.00421862211434604
"2006_8",-93.656864,42.060425,-0.206828689576844
"2007_6",-93.6554248,42.061133,-0.214928259641948
"2009_7",-93.653152,42.061382,-0.155590682848814
"2009_6",-93.652884,42.061437,-0.0194477445498701
"2010_4",-93.6537329,42.0611331,0.110529513277142
"2010_6",-93.6528306,42.0612885,0.0820779901702152
"2010_5",-93.652713,42.060872,-0.112034104920466
"2006_3",-93.653016,42.060835,-0.13392925649228
"2010_6",-93.65332,42.0608079,-0.211531190116746
"2008_8",-93.65369,42.060766,0.00707345194648775
"2006_5",-93.654642,42.060577,-0.0418996055517145
"2007_10",-93.654689,42.060576,-0.00399310871730352
"2009_1",-93.654724,42.060576,-0.134911637835894
"2009_2",-93.65476,42.060575,-0.0946161698532118
"2009_3",-93.652084,42.061678,-0.08341843654128
"2010_2",-93.652336,42.060879,-0.229953081569135
"2006_7",-93.652334,42.060866,-0.0446258616024696
"2010_3",-93.652307,42.060298,-0.0673990307702374
"2006_7",-93.654831,42.060424,0.0399554190461945
"2008_6",-93.654734,42.060425,-0.136266031264172
"2009_6",-93.654652,42.060426,-0.0119715066390875
"2007_9",-93.654617,42.060427,-0.0294290213318409
"2006_11",-93.653452,42.060357,-0.0112009404426375
"2006_8",-93.6531488,42.060377,-0.028203786110106
"2009_3",-93.652724,42.060178,-0.0832172524666023
"2006_11",-93.643412,42.061544,0.0104842674461326
"2009_10",-93.6541267,42.0599123,-0.0806063627573873
"2008_7",-93.654443,42.0599011,-0.0423950651657723
"2009_6",-93.6547754,42.0598989,-0.022252704711146
"2009_9",-93.643771,42.061404,0.0801500243296924
"2006_10",-93.643862,42.061377,-0.0145295359280305
"2007_11",-93.650917,42.059561,-0.00264550574778809
"2007_6",-93.657492,42.06113,-0.0307171998098958
"2010_3",-93.655051,42.059617,0.391519184441091
"2006_3",-93.654997,42.059636,0.0410398413363197
"2006_8",-93.655461,42.059825,0.0312497933697178
"2007_8",-93.656249,42.059761,-0.124419800108415
"2007_6",-93.6565389,42.059677,0.0878141583983846
"2006_8",-93.657883,42.058544,0.0269422430220845
"2008_2",-93.656958,42.058484,0.218565024930393
"2009_6",-93.65604,42.059241,-0.158431095422182
"2009_7",-93.65486,42.058782,0.0870876594492725
"2008_3",-93.65572,42.058683,-0.00264618659472934
"2007_1",-93.65699,42.058634,0.0281094425776168
"2009_6",-93.6545189,42.058886,-0.0778176427204578
"2007_5",-93.6545189,42.058619,-0.148036337048159
"2006_4",-93.653084,42.05869,0.0617378018120644
"2008_8",-93.652549,42.058573,0.0665971080296637
"2006_6",-93.650626,42.059216,-0.060952331642365
"2007_8",-93.650597,42.059211,-0.0215035382199055
"2007_5",-93.650499,42.059202,0.000771094174308825
"2009_7",-93.65048,42.0592,-0.0708591170476315
"2007_1",-93.65045,42.059197,-0.121044201688611
"2007_2",-93.650406,42.059194,-0.0544202427689692
"2008_6",-93.651216,42.058649,0.0338852884139927
"2006_2",-93.6534099,42.059017,-0.0637810380686647
"2007_6",-93.649838,42.059175,-0.00727413715728562
"2007_8",-93.649828,42.059175,0.0607212598205673
"2007_5",-93.649808,42.059176,0.0367116500780576
"2007_6",-93.649798,42.059176,0.0734572330466111
"2009_8",-93.649779,42.059177,0.0917141202898317
"2009_8",-93.649743,42.059179,0.0210169683464261
"2009_3",-93.649723,42.059183,-0.0286848602262309
"2006_6",-93.649714,42.059184,-0.117536224763769
"2010_6",-93.650436,42.058388,0.0306626327533148
"2009_5",-93.650258,42.058339,-0.0525455957794596
"2009_7",-93.650244,42.058336,0.0941697280802942
"2010_6",-93.656067,42.058599,0.085742509838784
"2009_2",-93.655483,42.057177,0.182475819238163
"2010_6",-93.654853,42.057102,-0.0284403000819655
"2009_7",-93.6552449,42.05851,0.0461685544076206
"2008_1",-93.655587,42.057028,0.227507593212959
"2008_7",-93.654914,42.058694,0.0273167597764873
"2010_2",-93.654121,42.057164,-0.0730995442719805
"2006_3",-93.654138,42.057164,-0.114089176446736
"2008_11",-93.654187,42.057164,-0.0560467246127929
"2009_5",-93.654204,42.057164,-0.0938658483907884
"2009_4",-93.654215,42.057089,-0.186375513203136
"2008_10",-93.6513669,42.0579589,0.097260653627171
"2008_6",-93.649744,42.0582,-0.14464926316621
"2006_9",-93.649553,42.058231,-0.0564745118023881
"2006_3",-93.649525,42.058238,-0.0530115125165138
"2010_4",-93.649447,42.058252,-0.128046523708134
"2007_8",-93.649397,42.05826,-0.14818900957489
"2007_5",-93.649319,42.058276,-0.146428174638916
"2007_10",-93.649291,42.058284,-0.133640404584187
"2009_9",-93.654405,42.057019,-0.0474420380600974
"2008_4",-93.653868,42.056766,-0.102648005379738
"2007_5",-93.653414,42.056827,-0.098033933619835
"2008_7",-93.652769,42.0570189,-0.185945035455708
"2007_8",-93.652565,42.057124,-0.0886861182327274
"2006_6",-93.654124,42.057164,-0.0523764228480086
"2006_6",-93.65414,42.057164,0.0268353877498824
"2007_12",-93.652054,42.05738,-0.0488939931127902
"2008_6",-93.651845,42.057446,0.0974562650452926
"2008_6",-93.651163,42.057179,0.0234729048484549
"2008_2",-93.6514243,42.0571198,-0.0537695894290476
"2009_12",-93.6514849,42.056983,0.0779290302378772
"2007_9",-93.6514105,42.0568529,-0.0394037259358118
"2009_11",-93.651014,42.057277,-0.194551525690944
"2006_3",-93.650617,42.05758,-0.195149854472286
"2009_7",-93.650238,42.057467,-0.0708439093796996
"2008_10",-93.649997,42.057468,-0.188339510068168
"2010_6",-93.651013,42.057181,-0.0718288455454978
"2008_10",-93.650607,42.057094,-0.197368665807219
"2007_3",-93.650608,42.057209,-0.0370462119548094
"2008_7",-93.65089,42.056616,-0.0737510772760198
"2007_5",-93.646937,42.063388,-0.0584915242645381
"2007_6",-93.646429,42.063381,-0.0933748006245426
"2006_10",-93.646459,42.063304,-0.133915663260585
"2007_7",-93.645875,42.062483,-0.00950289885697174
"2006_2",-93.645841,42.062442,-0.0410958945753589
"2006_9",-93.645774,42.062361,-0.0995343366248734
"2009_6",-93.645752,42.06232,-0.0563877122262281
"2007_5",-93.64573,42.062279,-0.138370517004552
"2006_9",-93.644411,42.061915,-0.148240503716858
"2006_11",-93.644366,42.061928,-0.0533975882126766
"2010_1",-93.644356,42.061928,0.0143327140584472
"2009_7",-93.64466,42.063183,-0.0951948414191279
"2006_7",-93.644627,42.063031,-0.0706030147174853
"2007_3",-93.644788,42.0626729,-0.081353496493481
"2007_6",-93.644415,42.06208,0.0315800858824988
"2007_6",-93.6443,42.062067,0.0710943329348892
"2009_6",-93.644457,42.062058,-0.0784823221028493
"2009_3",-93.645627,42.062404,-0.0910489415976187
"2007_7",-93.645732,42.062533,-0.0806881368715457
"2006_5",-93.645755,42.062576,0.0441130532985373
"2006_6",-93.644213,42.061984,-0.0707991106413872
"2006_10",-93.644306,42.061987,-0.0413401505499212
"2007_8",-93.644377,42.062887,-0.0852240897930671
"2007_8",-93.644376,42.062931,-0.0813082548384664
"2007_3",-93.644375,42.062974,-0.0879382326187027
"2007_12",-93.644374,42.063019,-0.0627112650858617
"2007_7",-93.644447,42.063106,-0.0482222240178074
"2007_8",-93.644366,42.063342,-0.0839027719904273
"2007_6",-93.641795,42.062584,-0.134639300755957
"2007_2",-93.641716,42.062581,-0.0753595596590124
"2006_11",-93.641662,42.062574,0.109634227796723
"2010_1",-93.641635,42.06257,-0.0736739398595158
"2009_6",-93.641561,42.062562,-0.194400955211942
"2009_5",-93.641515,42.062557,-0.196637590794971
"2006_10",-93.641946,42.063298,0.13299039098665
"2006_5",-93.640287,42.063329,0.00159294432488701
"2008_8",-93.640176,42.063336,-0.0923147643881494
"2006_5",-93.640227,42.063185,0.191310802686938
"2007_11",-93.640513,42.062946,-0.0357794356395926
"2008_5",-93.640958,42.062299,0.0127272081373562
"2006_5",-93.641321,42.062374,-0.10066539692091
"2006_9",-93.6419,42.0623,0.108257737323894
"2009_5",-93.642094,42.062305,-0.0606105747189956
"2010_4",-93.642252,42.062303,-0.0619441190413678
"2008_5",-93.6424399,42.062285,-0.0535260087187714
"2009_5",-93.642597,42.062266,-0.111166077400467
"2009_8",-93.642911,42.062081,0.0149178253798812
"2009_9",-93.642914,42.062086,-0.0913941985212553
"2008_3",-93.643039,42.062004,-0.161434496003686
"2008_3",-93.642326,42.063301,0.00448410219501148
